Fixtures,Expected Goal Difference,Actual Goal Difference
Blackburnvs. Wolves,-1.0,-1
Fulhamvs. Aston Villa,0.0,0
Liverpoolvs. Sunderland,0.0,0
Newcastlevs. Arsenal,0.0,0
QPRvs. Bolton,-4.0,-4
Wiganvs. Norwich,0.0,0
Stokevs. Chelsea,0.0,0
West Bromvs. Man United,-1.0,-1
Man Cityvs. Swansea,4.0,4
Arsenalvs. Liverpool,-2.0,-2
Aston Villavs. Blackburn,2.0,2
Chelseavs. West Brom,1.0,1
Evertonvs. QPR,-1.0,-1
Sunderlandvs. Newcastle,-1.0,-1
Swanseavs. Wigan,0.0,0
Boltonvs. Man City,-1.0,-1
Norwichvs. Stoke,0.0,0
Wolvesvs. Fulham,2.0,2
Man Unitedvs. Tottenham,3.0,3
Aston Villavs. Wolves,0.0,0
Blackburnvs. Everton,-1.0,-1
Chelseavs. Norwich,2.0,2
Liverpoolvs. Bolton,2.0,2
Swanseavs. Sunderland,0.0,0
Wiganvs. QPR,2.0,2
Man Unitedvs. Arsenal,6.0,6
Newcastlevs. Fulham,1.0,1
Tottenhamvs. Man City,-4.0,-4
West Bromvs. Stoke,-1.0,-1
Arsenalvs. Swansea,1.0,1
Boltonvs. Man United,-5.0,-5
Evertonvs. Aston Villa,0.0,0
Man Cityvs. Wigan,3.0,3
Stokevs. Liverpool,1.0,1
Sunderlandvs. Chelsea,-1.0,-1
Wolvesvs. Tottenham,-2.0,-2
Fulhamvs. Blackburn,0.0,0
Norwichvs. West Brom,-1.0,-1
QPRvs. Newcastle,0.0,0
Aston Villavs. Newcastle,0.0,0
Blackburnvs. Arsenal,1.0,1
Boltonvs. Norwich,-1.0,-1
Evertonvs. Wigan,2.0,2
Swanseavs. West Brom,3.0,3
Wolvesvs. QPR,-3.0,-3
Fulhamvs. Man City,0.0,0
Man Unitedvs. Chelsea,2.0,2
Sunderlandvs. Stoke,4.0,4
Tottenhamvs. Liverpool,4.0,4
Arsenalvs. Bolton,3.0,3
Chelseavs. Swansea,3.0,3
Liverpoolvs. Wolves,1.0,1
Man Cityvs. Everton,2.0,2
Newcastlevs. Blackburn,2.0,2
Stokevs. Man United,0.0,0
West Bromvs. Fulham,0.0,0
Wiganvs. Tottenham,-1.0,-1
QPRvs. Aston Villa,0.0,0
Norwichvs. Sunderland,1.0,1
Aston Villavs. Wigan,2.0,2
Blackburnvs. Man City,-4.0,-4
Evertonvs. Liverpool,-2.0,-2
Man Unitedvs. Norwich,2.0,2
Sunderlandvs. West Brom,0.0,0
Wolvesvs. Newcastle,-1.0,-1
Boltonvs. Chelsea,-4.0,-4
Fulhamvs. QPR,6.0,6
Swanseavs. Stoke,2.0,2
Tottenhamvs. Arsenal,1.0,1
Chelseavs. Everton,2.0,2
Liverpoolvs. Man United,0.0,0
Man Cityvs. Aston Villa,3.0,3
Norwichvs. Swansea,2.0,2
QPRvs. Blackburn,0.0,0
Stokevs. Fulham,2.0,2
Wiganvs. Bolton,-2.0,-2
Arsenalvs. Sunderland,1.0,1
Newcastlevs. Tottenham,0.0,0
West Bromvs. Wolves,2.0,2
Aston Villavs. West Brom,-1.0,-1
Boltonvs. Sunderland,-2.0,-2
Liverpoolvs. Norwich,0.0,0
Newcastlevs. Wigan,1.0,1
Wolvesvs. Swansea,0.0,0
Arsenalvs. Stoke,2.0,2
Blackburnvs. Tottenham,-1.0,-1
Fulhamvs. Everton,-2.0,-2
Man Unitedvs. Man City,-5.0,-5
QPRvs. Chelsea,1.0,1
Chelseavs. Arsenal,-2.0,-2
Evertonvs. Man United,-1.0,-1
Man Cityvs. Wolves,2.0,2
Norwichvs. Blackburn,0.0,0
Sunderlandvs. Aston Villa,0.0,0
Swanseavs. Bolton,2.0,2
West Bromvs. Liverpool,-2.0,-2
Wiganvs. Fulham,-2.0,-2
Tottenhamvs. QPR,2.0,2
Stokevs. Newcastle,-2.0,-2
Arsenalvs. West Brom,3.0,3
Aston Villavs. Norwich,1.0,1
Blackburnvs. Chelsea,-1.0,-1
Liverpoolvs. Swansea,0.0,0
Man Unitedvs. Sunderland,1.0,1
Newcastlevs. Everton,1.0,1
QPRvs. Man City,-1.0,-1
Boltonvs. Stoke,5.0,5
Fulhamvs. Tottenham,-2.0,-2
Wolvesvs. Wigan,2.0,2
Evertonvs. Wolves,1.0,1
Man Cityvs. Newcastle,2.0,2
